#VENUS
L0	1 	317614667 	0 		0
L0	2 	1353968 	5.5931332 	10213.2855462
L0	3 	89892 		5.30650 	20426.57109
L0	4 	5477 		4.4163 		7860.4194
L0	5 	3456 		2.6996 		11790.6291
L0	6 	2372 		2.9938 		3930.2097
L0	7 	1664 		4.2502 		1577.3435
L0	8 	1438 		4.1575 		9683.5946
L0	9 	1317 		5.1867 		26.2983
L0	10 	1201 		6.1536 		30639.8566
L0	11 	769 		0.816 		9437.763
L0	12 	761 		1.950 		529.691
L0	13 	708 		1.065 		775.523
L0	14 	585 		3.998 		191.448
L0	15 	500 		4.123 		15720.839
L0	16 	429 		3.586 		19367.189
L0	17 	327 		5.677 		5507.553
L0	18 	326 		4.591 		10404.734
L0 	19 	232 		3.163 		9153.904
L0	20 	180 		4.653 		1109.379
L0	21 	155 		5.570 		19651.048
L0	22 	128 		4.226 		20.775
L0	23 	128 		0.962 		5661.332
L0	24 	106 		1.537 		801.821
L1 	1 	1021352943053 	0 		0
L1	2 	95708 		2.46424 	10213.28555
L1	3 	14445 		0.51625 	20426.57109
L1	4 	213 		1.795 		30639.857
L1	5 	174 		2.655 		26.298
L1	6 	152 		6.106 		1577.344
L1	7 	82 		5.70 		191.45
L1	8 	70 		2.68 		9437.76
L1	9 	52 		3.60 		775.52
L1	10 	38 		1.03 		529.69
L1	11 	30 		1.25 		5507.55
L1	12 	25 		6.11 		10404.73
L2 	1 	54127 		0 		0
L2	2 	3891 		0.3451 		10213.2855
L2	3 	1338 		2.0201 		20426.5711
L2	4 	24 		2.05 		26.30
L2	5 	19 		3.54 		30639.86
L2	6 	10 		3.97 		775.52
L2	7 	7 		1.52 		1577.34
L2	8 	6 		1.00 		191.45
L3 	1 	136 		4.804 		10213.286
L3	2 	78 		3.67 		20426.57
L3	3 	26 		0 		0
L4 	1 	114 		3.1416 		0
L4	2 	3 		5.21 		20426.57
L4	3 	2 		2.51 		10213.29
L5 	1 	1 		3.14 		0
B0 	1 	5923638 	0.2670278 	10213.2855462
B0	2 	40108 		1.14737 	20426.57109
B0	3 	32815 		3.14159 	0
B0	4 	1011 		1.0895 		30639.8566
B0	5 	149 		6.254 		18073.705
B0	6 	138 		0.860 		1577.344
B0	7 	130 		3.672 		9437.763
B0	8 	120 		3.705 		2352.866
B0	9 	108 		4.539 		22003.915
B1 	1 	513348 		1.803643 	10213.285546
B1	2 	4380 		3.3862 		20426.5711
B1	3 	199 		0 		0
B1	4 	197 		2.530 		30639.857
B2 	1 	22378 		3.38509 	10213.28555
B2	2 	282 		0 		0
B2	3 	173 		5.256 		20426.571
B2	4 	27 		3.87 		30639.86
B3 	1 	647 		4.992 		10213.286
B3	2 	20 		3.14 		0
B3	3 	6 		0.77 		20426.57
B3	4 	3 		5.44 		30639.86
B4 	1 	14 		0.32 		10213.29
R0 	1 	72334821 	0 		0
R0	2 	489824 		4.021518 	10213.285546
R0	3 	1658 		4.9021 		20426.5711
R0	4 	1632 		2.8455 		7860.4194
R0	5 	1378 		1.1285 		11790.6291
R0	6 	498 		2.587 		9683.595
R0	7 	374 		1.423 		3930.210
R0	8 	264 		5.529 		9437.763
R0	9 	237 		2.551 		15720.839
R0	10 	222 		2.013 		19367.189
R0	11 	126 		2.728 		1577.344
R0	12 	119 		3.020 		10404.734
R1 	1 	34551 		0.89199 	10213.28555
R1	2 	234 		1.772 		20426.571
R1	3 	234 		3.142 		0
R2 	1 	1407 		5.0637 		10213.2855
R2	2 	16 		5.47 		20426.57
R2	3 	13 		0 		0
R3 	1 	50 		3.22 		10213.29
R4 	1 	1 		0.92 		10213.29
