 1.16219  35.6206    2.065  42.3297 +0.178 -0.114 +0.045 -0.052
 0.13981  29.0906  0.65547  30.8608 +0.136 -0.163 +0.136 -0.091
23.03203  42.3261 23.62608  46.4581 +0.023 -0.006 +0.162 -0.421
23.62608  46.4581  0.94589  38.4994 +0.162 -0.421 +0.152 +0.033
 0.61469  33.7194  0.13981  29.0906 +0.015 -0.004 +0.136 -0.163
 0.65547  30.8608  1.16219  35.6206 +0.136 -0.091 +0.178 -0.114
 0.94589  38.4994  1.15839  47.2419 +0.152 +0.033 +0.010 -0.009
 0.94589  38.4994  0.61469  33.7194 +0.152 +0.033 +0.015 -0.004
10.45253 -31.0678 10.94531 -37.1378 -0.075 +0.011 +0.077 -0.128
10.45253 -31.0678  9.48742 -35.9514 -0.075 +0.011 -0.022 +0.001
14.79767 -79.0447 16.33911 -78.6958 -0.012 -0.015 -0.014 -0.035
16.33911 -78.6958  16.5575 -78.8972 -0.014 -0.035 -0.131 -0.076
16.33911 -78.6958 16.71794 -77.5175 -0.014 -0.035 -0.287 -0.350
 16.5575 -78.8972 16.71794 -77.5175 -0.131 -0.076 -0.287 -0.350
18.99372  15.0683 19.09017  13.8633 -0.051 -0.073 -0.005 -0.096
  19.028  -5.7389 19.10414  -4.8825 -0.019 -0.033 -0.017 -0.090
19.09017  13.8633   19.771  10.6133 -0.005 -0.096 +0.018 -0.002
19.10414  -4.8825 19.42497   3.1147 -0.017 -0.090 +0.257 +0.082
19.42497   3.1147   19.771  10.6133 +0.257 +0.082 +0.018 -0.002
19.61203  -1.2864 19.10414  -4.8825 +0.004 -0.018 -0.017 -0.090
  19.771  10.6133 19.84639   8.8683 +0.018 -0.002 +0.538 +0.386
19.84639   8.8683 19.92189   6.4067 +0.538 +0.386 +0.048 -0.482
19.87456   1.0056 19.61203  -1.2864 +0.011 -0.007 +0.004 -0.018
19.92189   6.4067 20.18842  -0.8214 +0.048 -0.482 +0.038 +0.004
20.18842  -0.8214 19.87456   1.0056 +0.038 +0.004 +0.011 -0.007
20.79461  -9.4958 21.52597  -5.5711 +0.035 -0.034 +0.021 -0.008
21.52597  -5.5711 22.05525  -2.1553 +0.021 -0.008 +0.028 -0.012
22.05525  -2.1553 22.36094  -1.3872 +0.028 -0.012 +0.132 +0.007
22.36094  -1.3872 22.48047  -0.0203 +0.132 +0.007 +0.181 +0.009
22.48047  -0.0203 22.42128   1.3775 +0.181 +0.009 +0.019 +0.001
22.48047  -0.0203 22.58928  -0.1175 +0.181 +0.009 +0.091 -0.056
22.48047  -0.0203 22.87692  -7.5797 +0.181 +0.009 +0.011 +0.037
22.82653 -13.5925 22.91083 -15.8208 -0.012 -0.038 -0.040 -0.025
22.87692  -7.5797 22.82653 -13.5925 +0.011 +0.037 -0.012 -0.038
22.91083 -15.8208 23.15744 -21.1725 -0.040 -0.025 +0.055 +0.031
23.15744 -21.1725 23.43411 -20.6419 +0.055 +0.031 -0.052 -0.058
23.23872  -6.0489 22.87692  -7.5797 +0.042 -0.196 +0.011 +0.037
23.31603  -9.6108 23.23872  -6.0489 +0.047 -0.002 +0.042 -0.196
23.43411 -20.6419 23.76692 -18.6781 -0.052 -0.058 +0.134 +0.030
23.71203  -14.545 23.31603  -9.6108 +0.101 -0.066 +0.047 -0.002
23.76692 -18.6781 23.71203  -14.545 +0.134 +0.030 +0.101 -0.066
  16.977 -55.9903 16.82975 -59.0414 -0.019 -0.036 +0.038 -0.028
  16.977 -55.9903 16.99308 -53.1606 -0.019 -0.036 +0.004 +0.017
17.42167   -55.53   16.977 -55.9903 -0.008 -0.025 -0.019 -0.036
17.42167   -55.53 17.42322 -56.3775 -0.008 -0.025 -0.002 -0.012
17.42322 -56.3775 17.51831 -60.6839 -0.002 -0.012 -0.059 -0.096
17.53069 -49.8761 17.42167   -55.53 -0.031 -0.070 -0.008 -0.025
18.11053 -50.0917 17.53069 -49.8761 -0.010 -0.014 -0.031 -0.070
 1.89217  19.2936  1.91067  20.8081 +0.079 -0.104 +0.096 -0.111
 1.91067  20.8081  2.11956  23.4625 +0.096 -0.111 +0.190 -0.148
 2.11956  23.4625  3.19383  19.7267 +0.190 -0.148 +0.152 -0.011
 4.94989  33.1661  5.10858  41.2344 +0.003 -0.018 +0.029 -0.068
 5.10858  41.2344  5.27817  45.9981 +0.029 -0.068 +0.076 -0.425
 5.27817  45.9981  5.99211  54.2847 +0.076 -0.425 +0.081 -0.125
 5.43819  28.6075  4.94989  33.1661 +0.022 -0.175 +0.003 -0.018
 5.99214  44.9475  5.27817  45.9981 -0.057  0.000 +0.076 -0.425
 5.99214  44.9475  5.99536  37.2125 -0.057  0.000 +0.048 -0.081
 5.99211  54.2847  5.99892  45.9369 +0.081 -0.125  0.000 -0.005
 5.99536  37.2125  5.43819  28.6075 +0.048 -0.081 +0.022 -0.175
 5.99892  45.9369  5.99214  44.9475  0.000 -0.005 -0.057  0.000
13.91142  18.3978 13.82461  15.7978 -0.063 -0.358 -0.095 +0.042
14.26103  19.1825 13.91142  18.3978 -1.093 -1.998 -0.063 -0.358
14.26103  19.1825  14.5305  30.3714 -1.093 -1.998 -0.100 +0.119
14.26103  19.1825 14.68581  13.7283 -1.093 -1.998 +0.053 -0.016
14.27306  46.0883 14.41994  51.8508 -0.187 +0.161 -0.236 -0.397
 14.5305  30.3714 14.53464  38.3083 -0.100 +0.119 -0.114 +0.153
14.53464  38.3083 14.27306  46.0883 -0.114 +0.153 -0.187 +0.161
14.53464  38.3083 15.03244  40.3906 -0.114 +0.153 -0.041 -0.028
