#EARTH
L0	1 	175347046 	0 		0
L0	2 	3341656 	4.6692568 	6283.0758500
L0	3 	34894 		4.62610 	12566.15170
L0	4 	3497 		2.7441 		5753.3849
L0	5 	3418 		2.8289 		3.5231
L0	6 	3136 		3.6277 		77713.7715
L0	7 	2676 		4.4181 		7860.4194
L0	8 	2343 		6.1352 		3930.2097
L0	9 	1324 		0.7425 		11506.7698
L0	10 	1273 		2.0371 		529.6910
L0	11 	1199 		1.1096 		1577.3435
L0	12 	990 		5.233 		5884.927
L0	13 	902 		2.045 		26.298
L0	14 	857 		3.508 		398.149
L0	15 	780 		1.179 		5223.694
L0	16 	753 		2.533 		5507.553
L0	17 	505 		4.583 		18849.228
L0	18 	492 		4.205 		775.523
L0	19 	357 		2.920 		0.067
L0	20 	317 		5.849 		11790.629
L0	21 	284 		1.899 		796.298
L0	22 	271 		0.315 		10977.079
L0	23 	243 		0.345 		5486.778
L0	24 	206 		4.806 		2544.314
L0	25 	205 		1.869 		5573.143
L0	26 	202 		2.458 		6069.777
L0	27 	156 		0.833 		213.299
L0	28 	132 		3.411 		2942.463
L0	29 	126 		1.083 		20.775
L0	30 	115 		0.645 		0.980
L0	31 	103 		0.636 		4694.003
L0	32 	102 		0.976 		15720.839
L0	33 	102 		4.267 		7.114
L0	34 	99 		6.21 		2146.17
L0	35 	98 		0.68 		155.42
L0	36 	86 		5.98 		161000.69
L0	37 	85 		1.30 		6275.96
L0	38 	85 		3.67 		71430.70
L0	39 	80 		1.81 		17260.15
L0	40 	79 		3.04 		12036.46
L0	41 	75 		1.76 		5088.63
L0	42 	74 		3.50 		3154.69
L0	43 	74 		4.68 		801.82
L0	44 	70 		0.83 		9437.76
L0	45 	62 		3.98 		8827.39
L0	46 	61 		1.82 		7084.90
L0	47 	57 		2.78 		6286.60
L0	48 	56 		4.39 		14143.50
L0	49 	56 		3.47 		6279.55
L0	50 	52 		0.19 		12139.55
L0	51 	52 		1.33 		1748.02
L0	52 	51 		0.28 		5856.48
L0	53 	49 		0.49 		1194.45
L0	54 	41 		5.37 		8429.24
L0	55 	41 		2.40 		19651.05
L0	56 	39 		6.17 		10447.39
L0	57 	37 		6.04 		10213.29
L0	58 	37 		2.57 		1059.38
L0	59 	36 		1.71 		2352.87
L0	60 	36 		1.78 		6812.77
L0	61 	33 		0.59 		17789.85
L0	62 	30 		0.44 		83996.85
L0	63 	30 		2.74 		1349.87
L0	64 	25 		3.16 		4690.48
L1 	1 	628331966747 	0 		0
L1	2 	206059 		2.678235 	6283.075850
L1	3 	4303 		2.6351 		12566.1517
L1	4 	425 		1.590 		3.523
L1	5 	119 		5.796 		26.298
L1	6 	109 		2.966 		1577.344
L1	7 	93 		2.59 		18849.23
L1	8 	72 		1.14 		529.69
L1	9 	68 		1.87 		398.15
L1	10 	67 		4.41 		5507.55
L1	11 	59 		2.89 		5223.69
L1	12 	56 		2.17 		155.42
L1	13 	45 		0.40 		796.30
L1	14 	36 		0.47 		775.52
L1	15 	29 		2.65 		7.11
L1	16 	21 		5.34 		0.98
L1	17 	19 		1.85 		5486.78
L1	18 	19 		4.97 		213.30
L1	19 	17 		2.99 		6275.96
L1	20 	16 		0.03 		2544.31
L1	21 	16 		1.43 		2146.17
L1	22 	15 		1.21 		10977.08
L1	23 	12 		2.83 		1748.02
L1	24 	12 		3.26 		5088.63
L1	25 	12 		5.27 		1194.45
L1	26 	12 		2.08 		4694.00
L1	27 	11 		0.77 		553.57
L1	28 	10 		1.30 		6286.60
L1	29 	10 		4.24 		1349.87
L1	30 	9 		2.70 		242.73
L1	31 	9 		5.64 		951.72
L1	32 	8 		5.30 		2352.87
L1	33 	6 		2.65 		9437.76
L1	34 	6 		4.67 		4690.48
L2 	1 	52919 		0 		0
L2	2 	8720 		1.0721 		6283.0758
L2	3 	309 		0.867 		12566.152
L2	4 	27 		0.05 		3.52
L2	5 	16 		5.19 		26.30
L2	6 	16 		3.68 		155.42
L2	7 	10 		0.76 		18849.23
L2	8 	9 		2.06 		77713.77
L2	9 	7 		0.83 		775.52
L2	10 	5 		4.66 		1577.34
L2	11 	4 		1.03 		7.11
L2	12 	4 		3.44 		5573.14
L2	13 	3 		5.14 		796.30
L2	14 	3 		6.05 		5507.55
L2	15 	3 		1.19 		242.73
L2	16 	3 		6.12 		529.69
L2	17 	3 		0.31 		398.15
L2	18 	3 		2.28 		553.57
L2	19 	2 		4.38 		5223.69
L2	20 	2 		3.75 		0.98
L3 	1 	289 		5.844 		6283.076
L3	2 	35 		0 		0
L3	3 	17 		5.49 		12566.15
L3	4 	3 		5.20 		155.42
L3	5 	1 		4.72 		3.52
L3	6 	1 		5.30 		18849.23
L3	7 	1 		5.97 		242.73
