#NEPTUNE
L0 	1 	531188633 	0 		0
L0	2 	1798476 	2.9010127 	38.1330356
L0	3 	1019728 	0.4858092 	1.4844727
L0	4 	124532 		4.830081 	36.648563
L0	5 	42064 		5.41055 	2.96895
L0	6 	37715 		6.09222 	35.16409
L0	7 	33785 		1.24489 	76.26607
L0	8 	16483 		0.00008 	491.55793
L0	9 	9199 		4.9375 		39.6175
L0	10 	8994 		0.2746 		175.1661
L0	11 	4216 		1.9871 		73.2971
L0	12 	3365 		1.0359 		33.6796
L0	13 	2285 		4.2061 		4.4534
L0	14 	1434 		2.7834 		74.7816
L0	15 	900 		2.076 		109.946
L0	16 	745 		3.190 		71.813
L0	17 	506 		5.748 		114.399
L0	18 	400 		0.350 		1021.249
L0	19 	345 		3.462 		41.102
L0	20 	340 		3.304 		77.751
L0	21 	323 		2.248 		32.195
L0	22 	306 		0.497 		0.521
L0	23 	287 		4.505 		0.048
L0	24 	282 		2.246 		146.594
L0	25 	267 		4.889 		0.963
L0	26 	252 		5.782 		388.465
L0	27 	245 		1.247 		9.561
L0	28 	233 		2.505 		137.033
L0	29 	227 		1.797 		453.425
L0	30 	170 		3.324 		108.461
L0	31 	151 		2.192 		33.940
L0	32 	150 		2.997 		5.938
L0	33 	148 		0.859 		111.430
L0	34 	119 		3.677 		2.448
L0	35 	109 		2.416 		183.243
L0	36 	103 		0.041 		0.261
L0	37 	103 		4.404 		70.328
L0	38 	102 		5.705 		0.112
L1 	1 	3837687717 	0 		0
L1	2 	16604 		4.86319 	1.48447
L1	3 	15807 		2.27923 	38.13304
L1	4 	3335 		3.6820 		76.2661
L1	5 	1306 		3.6732 		2.9689
L1	6 	605 		1.505 		35.164
L1	7 	179 		3.453 		39.618
L1	8 	107 		2.451 		4.453
L1	9 	106 		2.755 		33.680
L1	10 	73 		5.49 		36.65
L1	11 	57 		1.86 		114.40
L1	12 	57 		5.22 		0.52
L1	13 	35 		4.52 		74.78
L1	14 	32 		5.90 		77.75
L1	15 	30 		3.67 		388.47
L1	16 	29 		5.17 		9.56
L1	17 	29 		5.17 		2.45
L1	18 	26 		5.25 		168.05
L2 	1 	53893 		0 		0
L2	2 	296 		1.855 		1.484
L2	3 	281 		1.191 		38.133
L2	4 	270 		5.721 		76.266
L2	5 	23 		1.21 		2.97
L2	6 	9 		4.43 		35.16
L2	7 	7 		0.54 		2.45
L3 	1 	31 		0 		0
L3	2 	15 		1.35 		76.27
L3	3 	12 		6.04 		1.48
L3	4 	12 		6.11 		38.13
L4 	1 	114 		3.142 		0
B0 	1 	3088623 	1.4410437 	38.1330356
B0	2 	27780 		5.91272 	76.26607
B0	3 	27624 		0 		0
B0	4 	15448 		3.50877 	39.61751
B0	5 	15355 		2.52124 	36.64856
B0	6 	2000 		1.5100 		74.7816
B0	7 	1968 		4.3778 		1.4845
B0	8 	1015 		3.2156 		35.1641
B0	9 	606 		2.802 		73.297
B0	10 	595 		2.129 		41.102
B0	11 	589 		3.187 		2.969
B0	12 	402 		4.169 		114.399
B0	13 	280 		1.682 		77.751
B0	14 	262 		3.767 		213.299
B0	15 	254 		3.271 		453.425
B0	16 	206 		4.257 		529.691
B0	17 	140 		3.530 		137.033
B1 	1 	227279 		3.807931 	38.133036
B1	2 	1803 		1.9758 		76.2661
B1	3 	1433 		3.1416 		0
B1	4 	1386 		4.8256 		36.6486
B1	5 	1073 		6.0805 		39.6175
B1	6 	148 		3.858 		74.782
B1	7 	136 		0.478 		1.484
B1	8 	70 		6.19 		35.16
B1	9 	52 		5.05 		73.30
B1	10 	43 		0.31 		114.40
B1	11 	37 		4.89 		41.10
B1	12 	37 		5.76 		2.97
B1	13 	26 		5.22 		213.30
B2 	1 	9691 		5.5712 		38.1330
B2	2 	79 		3.63 		76.27
B2	3 	72 		0.45 		36.65
B2	4 	59 		3.14 		0
B2	5 	30 		1.61 		39.62
B2	6 	6 		5.61 		74.78
B3 	1 	273 		1.017 		38.133
B3	2 	2 		0 		0
B3	3 	2 		2.37 		36.65
B3	4 	2 		5.33 		76.27
B4 	1 	6 		2.67 		38.13
R0 	1 	3007013206 	0 		0
R0	2 	27062259 	1.32999459 	38.13303564
R0	3 	1691764 	3.2518614 	36.6485629
R0	4 	807831 		5.185928 	1.484473
R0	5 	537761 		4.521139 	35.164090
R0	6 	495726 		1.571057 	491.557929
R0	7 	274572 		1.845523 	175.166060
R0	8 	135134 		3.372206 	39.617508
R0	9 	121802 		5.797544 	76.266071
R0	10 	100895 		0.377027 	73.297126
R0	11 	69792 		3.79617 	2.96895
R0	12 	46688 		5.74938 	33.67962
R0	13 	24594 		0.50802 	109.94569
R0	14 	16939 		1.59422 	71.81265
R0	15 	14230 		1.07786 	74.78160
R0	16 	12012 		1.92062 	1021.24889
R0	17 	8395 		0.6782 		146.5943
R0	18 	7572 		1.0715 		388.4652
R0	19 	5721 		2.5906 		4.4534
R0	20 	4840 		1.9069 		41.1020
R0	21 	4483 		2.9057 		529.6910
R0	22 	4421 		1.7499 		108.4612
R0	23 	4354 		0.6799 		32.1951
R0	24 	4270 		3.4134 		453.4249
R0	25 	3381 		0.8481 		183.2428
R0	26 	2881 		1.9860 		137.0330
R0	27 	2879 		3.6742 		350.3321
R0	28 	2636 		3.0976 		213.2991
R0	29 	2530 		5.7984 		490.0735
R0	30 	2523 		0.4863 		493.0424
R0	31 	2306 		2.8096 		70.3282
R0	32 	2087 		0.6186 		33.9402
R1 	1 	236339 		0.704980 	38.133036
R1	2 	13220 		3.32015 	1.48447
R1	3 	8622 		6.2163 		35.1641
R1	4 	2702 		1.8814 		39.6175
R1	5 	2155 		2.0943 		2.9689
R1	6 	2153 		5.1687 		76.2661
R1	7 	1603 		0 		0
R1	8 	1464 		1.1842 		33.6796
R1	9 	1136 		3.9189 		36.6486
R1	10 	898 		5.241 		388.465
R1	11 	790 		0.533 		168.053
R1	12 	760 		0.021 		182.280
R1	13 	607 		1.077 		1021.249
R1	14 	572 		3.401 		484.444
R1	15 	561 		2.887 		498.671
R2 	1 	4247 		5.8991 		38.1330
R2	2 	218 		0.346 		1.484
R2	3 	163 		2.239 		168.053
R2	4 	156 		4.594 		182.280
R2	5 	127 		2.848 		35.164
R3 	1 	166 		4.552 		38.133
