16,3,17.7,-,60,25,53,5.1,NGC6025,OC,,15,,
6,37,42.0,+,4,44,0,5.1,Cr107,OC,,35,,
21,39,0.0,+,57,30,0,5.1,Tr37/Cr439,OC,,50,,
18,36,24.2,-,23,54,10,5.2,M22/NGC6656,GC,12.5,32,,
2,42,5.0,+,42,45,42,5.2,M34/NGC1039,OC,,25,,
16,41,20.3,-,48,45,48,5.2,NGC6193,OC,,14,,
20,6,27.0,+,35,47,24,5.2,NGC6871,OC,,30,,
11,36,14.3,-,61,36,36,5.3,NGC3766,OC,,15,,
13,26,47.0,-,47,28,51,5.3,NGC5139/Omega_Centauri_Cluster,GC,13.8,55,,
17,40,41.3,-,53,40,23,5.3,NGC6397,GC,12.5,31,,
19,10,51.8,-,59,58,53,5.3,NGC6752,GC,12.4,29,,
2,19,4.0,+,57,8,6,5.3,NGC869/h_Persei_Cluster,OC,,18,,
20,15,18.0,-,79,17,0,5.3,Mel227/Cr411,OC,,50,,
19,35,48.0,+,25,11,0,5.3,Stock1,OC,,60,,
16,23,35.5,-,26,31,29,5.4,M4/NGC6121,GC,13.0,36,,
20,18,6.0,+,40,44,0,5.4,Cr419,OC,,4,,
6,31,0.0,+,5,50,0,5.4,Cr97,OC,,21,,
6,48,17.8,+,41,4,44,5.4,NGC2281,OC,,25,,
16,18,51.8,-,57,53,59,5.4,NGC6087,OC,,15,,
17,4,47.2,-,37,53,16,5.4,NGC6281,OC,,8,,
17,56,56.0,-,19,0,42,5.5,M23/NGC6494,OC,13.0,25,,
6,31,54.0,+,4,59,0,5.5,Rosette_Nebula/NGC2237/NGC2238,BN,14.3,80,50,
14,35,30.8,-,56,39,46,5.5,NGC5662,OC,,30,,
17,34,42.2,-,32,34,54,5.5,NGC6383/NGC6374,OC,,20,,
10,43,54.0,-,59,33,0,5.5,Tr14/Cr230,OC,,5,,
5,52,18.3,+,32,33,11,5.6,M37/NGC2099,OC,11.0,15,,
16,13,10.9,-,54,13,8,5.6,NGC6067,OC,,15,,
14,7,36.0,-,48,18,0,5.6,NGC5460,OC,,35,,
23,30,7.3,+,49,8,3,5.6,NGC7686,OC,,15,,
1,33,51.9,+,30,39,29,5.7,M33/NGC598/Pinwheel_Galaxy,GX,14.1,69,42,23.0
15,18,33.8,+,2,5,0,5.7,M5/NGC5904,GC,12.3,23,,
1,57,35.0,+,37,50,0,5.7,NGC752,OC,,75,,
1,45,42.0,+,71,49,0,5.7,Cr463,OC,,36,,
6,18,0.0,+,23,38,0,5.7,Cr89,OC,,35,,
17,44,19.9,-,32,21,40,5.7,NGC6416,OC,,15,,
18,51,5.0,-,6,16,12,5.8,M11/NGC6705/Wild_Duck_Cluster,OC,9.0,11,,
16,41,41.5,+,36,27,39,5.8,M13/NGC6205/Hercules_Cluster,GC,12.1,20,,
8,13,43.1,-,5,45,2,5.8,M48/NGC2548,OC,13.0,30,,
7,52,10.0,-,38,31,48,5.8,NGC2477,OC,,20,,
16,25,17.2,-,40,40,1,5.8,NGC6124,OC,,40,,
18,4,13.3,-,22,30,0,5.9,M21/NGC6531,OC,11.0,16,,
7,2,47.8,-,8,22,33,5.9,M50/NGC2323,OC,12.0,15,,
2,59,18.0,+,60,24,0,5.9,Cr33,OC,,40,,
6,8,24.3,+,13,57,53,5.9,NGC2169,OC,,6,,
13,46,36.7,-,62,54,34,5.9,NGC5281,OC,,8,,
16,57,56.0,-,45,56,12,5.9,NGC6250,OC,,16,,
8,34,36.0,-,44,22,0,5.9,Pismis4,OC,,18,,
2,36,54.0,+,55,55,0,5.9,Tr2/Cr29,OC,,20,,
18,18,45.0,-,13,47,54,6.0,M16/NGC6611/Eagle_Nebula,OC,12.0,8,,
18,20,47.0,-,16,10,18,6.0,M17/NGC6618/Omega_Nebula,BN,12.0,20,15,
5,36,17.7,+,34,8,27,6.0,M36/NGC1960,OC,12.0,10,,
6,51,45.2,+,0,27,33,6.0,NGC2301,OC,,15,,
10,21,22.0,-,51,43,42,6.0,NGC3228,OC,,5,,
13,54,0.0,-,61,51,0,6.0,NGC5316,OC,,15,,
17,18,25.7,-,42,56,2,6.0,NGC6322,OC,,5,,
18,16,24.0,-,15,0,0,6.0,NGC6605,OC,,29,,
16,47,14.5,-,1,56,50,6.1,M12/NGC6218,GC,11.9,16,,
7,41,46.8,-,14,48,36,6.1,M46/NGC2437,OC,13.0,20,,
2,22,5.0,+,57,7,48,6.1,NGC884/Chi_Persei_Cluster,OC,,18,,
17,48,6.0,+,1,18,0,6.1,Cr350,OC,,45,,
8,46,19.0,-,52,56,6,6.1,NGC2669,OC,,14,,
21,53,40.2,+,62,36,12,6.1,NGC7160,OC,,5,,
7,44,30.0,-,23,51,24,6.2,M93/NGC2447,OC,12.0,10,,
10,42,12.0,-,59,9,0,6.2,Bochum10,OC,,20,,
4,20,56.2,+,50,15,19,6.2,NGC1545,OC,,12,,
9,12,2.6,-,64,51,45,6.2,NGC2808,GC,11.7,14,,
21,29,58.3,+,12,10,3,6.3,M15/NGC7078,GC,12.3,18,,
18,2,30.8,-,22,59,32,6.3,M20/NGC6514/Trifid_Nebula,BN,12.6,20,,
13,42,11.2,+,28,22,34,6.3,M3/NGC5272,GC,12.3,18,,
19,39,59.4,-,30,57,42,6.3,M55/NGC6809,GC,12.5,19,,
