#MERCURY
R1	6 	604 		4.293 		130439.516
R1	7 	153 		1.061 		156527.419
R1	8 	39 		4.11 		182615.32
R2 	1 	3118 		3.0823 		26087.9031
R2	2 	1245 		6.1518 		52175.8063
R2	3 	425 		2.926 		78263.709
R2	4 	136 		5.980 		104351.613
R2	5 	42 		2.75 		130439.52
R2	6 	22 		3.14 		0
R2	7 	13 		5.80 		156527.42
R3 	1 	33 		1.68 		26087.90
R3	2 	24 		4.63 		52175.81
R3	3 	12 		1.39 		78263.71
R3	4 	5 		4.44 		104351.61
R3	5 	2 		1.21 		130439.52
